intron_group	seqnames	start	end	width	strand	gene_name	gene_id	SpliceLeft	SpliceRight	SpliceMax	intronicCount	SIRratio
127131	10	14522020	14527936	5917	-	FAM107B	ENSG00000065809	0	0	0	234	0.0645301586983433
127132	10	14530187	14530331	145	-	FAM107B	ENSG00000065809	11	343	343	1	0.0085903326373411
127133	10	14530516	14532586	2071	-	FAM107B	ENSG00000065809	0	0	0	39	0.0299550218484344
127134	10	14534869	14542578	7710	-	FAM107B	ENSG00000065809	0	0	0	142	0.0294264709019813
127135	10	14542687	14548439	5753	-	FAM107B	ENSG00000065809	0	0	0	71	0.0194662877773716
127136	10	14553388	14554103	716	-	FAM107B	ENSG00000065809	50	2	50	19	0.0385659927017595
127137	10	14556406	14571762	15357	-	FAM107B	ENSG00000065809	0	0	0	212	0.0220651576331869
127138	10	14602851	14604239	1389	-	FAM107B	ENSG00000065809	0	0	0	34	0.0366634324554703
127139	10	14820159	14825478	5320	-	CDNF	ENSG00000185267	6	6	6	5	0.0289266039575329
127140	10	14825621	14828144	2524	-	CDNF	ENSG00000185267	4	4	4	2	0.0282356065295257
127141	10	14828273	14834216	5944	-	CDNF	ENSG00000185267	0	0	0	24	0.206986440552919
127142	10	14834334	14836250	1917	-	CDNF	ENSG00000185267	1	5	5	3	0.0500726639656836
127143	10	14836295	14837831	1537	-	CDNF	ENSG00000185267	1	4	4	8	0.152618572426162
127144	10	14909331	14911189	1859	-	DCLRE1C	ENSG00000152457	72	5	72	75	0.104083515856524
127145	10	14919833	14920379	547	-	DCLRE1C	ENSG00000152457	54	8	54	6	0.0337344423402356
127146	10	14920445	14922980	2536	-	DCLRE1C	ENSG00000152457	9	54	54	29	0.0380065189858069
127147	10	14923070	14926842	3773	-	DCLRE1C	ENSG00000152457	71	64	71	32	0.0268341164339058
127148	10	14926898	14928015	1118	-	DCLRE1C	ENSG00000152457	60	65	65	11	0.0302499323404655
127149	10	14928153	14932853	4701	-	DCLRE1C	ENSG00000152457	79	81	81	26	0.0177548999175133
127150	10	14932956	14934379	1424	-	DCLRE1C	ENSG00000152457	70	70	70	20	0.0422924460998107
127151	10	14934521	14934702	182	-	DCLRE1C	ENSG00000152457	52	52	52	2	0.0229727153293455
127152	10	14934776	14935462	687	-	DCLRE1C	ENSG00000152457	40	40	40	0	0
127153	10	14935565	14936537	973	-	DCLRE1C	ENSG00000152457	43	40	43	1	0.00340490935537966
127154	10	14936594	14939809	3216	-	DCLRE1C	ENSG00000152457	39	42	42	13	0.0139507047389092
127155	10	14939870	14942113	2244	-	DCLRE1C	ENSG00000152457	47	4	47	4	0.00630142135935684
127156	10	14942436	14945104	2669	-	DCLRE1C	ENSG00000152457	0	0	0	6	0.00842960180745506
127157	10	14945190	14945434	245	-	DCLRE1C	ENSG00000152457	62	7	62	3	0.0332698793395506
127158	10	14945566	14947524	1959	-	DCLRE1C	ENSG00000152457	0	0	0	25	0.0463058656167878
127159	10	14947610	14949035	1426	-	DCLRE1C	ENSG00000152457	21	76	76	7	0.0155503542550135
127160	10	14949088	14953901	4814	-	DCLRE1C	ENSG00000152457	58	59	59	21	0.0145743903606869
127161	10	15015472	15016903	1432	-	DCLRE1CP1	ENSG00000237470	0	0	0	0	0
127162	10	15017045	15017226	182	-	DCLRE1CP1	ENSG00000237470	0	0	0	0	0
127163	10	15017292	15018050	759	-	DCLRE1CP1	ENSG00000237470	0	0	0	0	0
127164	10	15018153	15021803	3651	-	DCLRE1CP1	ENSG00000237470	0	0	0	2	0.125929704062295
127165	10	15078604	15078690	87	-	ACBD7	ENSG00000176244	2	2	2	0	0
127166	10	15078754	15078922	169	-	ACBD7	ENSG00000176244	4	4	4	0	0
127167	10	15079041	15088305	9265	-	ACBD7	ENSG00000176244	0	0	0	4	0.0334116257315835
127168	10	15096866	15097086	221	-	RPP38-DT	ENSG00000176236	0	0	0	1	1
127169	10	15109216	15109701	486	-	NMT2	ENSG00000152465	29	30	30	3	0.015154930880667
127170	10	15109840	15112795	2956	-	NMT2	ENSG00000152465	54	54	54	2	0.00197595689616154
127171	10	15112964	15119342	6379	-	NMT2	ENSG00000152465	53	53	53	38	0.0171896446455166
127172	10	15119514	15128349	8836	-	NMT2	ENSG00000152465	49	49	49	39	0.0129986305652942
127173	10	15128459	15130141	1683	-	NMT2	ENSG00000152465	63	61	63	4	0.0064770281214439
127174	10	15130313	15132816	2504	-	NMT2	ENSG00000152465	78	80	80	3	0.00337595140646661
127175	10	15132934	15133052	119	-	NMT2	ENSG00000152465	26	26	26	1	0.0201934515709135
127176	10	15133145	15133244	100	-	NMT2	ENSG00000152465	85	85	85	4	0.0681748673776511
127177	10	15133364	15135273	1910	-	NMT2	ENSG00000152465	93	93	93	4	0.00576410150356684
127178	10	15135419	15140986	5568	-	NMT2	ENSG00000152465	62	7	62	27	0.013679844727799
127179	10	15141030	15141421	392	-	NMT2	ENSG00000152465	11	66	66	1	0.00645641208396923
127180	10	15214602	15215995	1394	-	FAM171A1	ENSG00000148468	3	2	3	1	0.0303490350471832
127181	10	15216111	15220943	4833	-	FAM171A1	ENSG00000148468	2	3	3	2	0.0185964280476121
127182	10	15221061	15248638	27578	-	FAM171A1	ENSG00000148468	2	2	2	5	0.00926089606954236
127183	10	15248816	15254720	5905	-	FAM171A1	ENSG00000148468	3	3	3	0	0
127184	10	15254880	15275854	20975	-	FAM171A1	ENSG00000148468	2	2	2	4	0.00973470873284579
127185	10	15275948	15283877	7930	-	FAM171A1	ENSG00000148468	4	4	4	1	0.00537065713123536
127186	10	15284106	15370955	86850	-	FAM171A1	ENSG00000148468	5	5	5	6	0.00272893901327874
127187	10	15517245	15519289	2045	-	ITGA8	ENSG00000077943	0	0	0	0	0
127188	10	15519413	15531049	11637	-	ITGA8	ENSG00000077943	0	0	0	0	0
127189	10	15531152	15548454	17303	-	ITGA8	ENSG00000077943	0	0	0	0	0
127190	10	15548569	15558073	9505	-	ITGA8	ENSG00000077943	0	0	0	0	0
127191	10	15558203	15572210	14008	-	ITGA8	ENSG00000077943	0	0	0	1	0.0177160919557544
127192	10	15572370	15575488	3119	-	ITGA8	ENSG00000077943	0	0	0	0	0
127193	10	15575595	15586583	10989	-	ITGA8	ENSG00000077943	0	0	0	2	0.0447259495583345
127194	10	15586665	15592224	5560	-	ITGA8	ENSG00000077943	1	1	1	1	0.0238137881460551
127195	10	15592305	15597206	4902	-	ITGA8	ENSG00000077943	0	0	0	1	0.0500518387696669
127196	10	15597300	15604207	6908	-	ITGA8	ENSG00000077943	1	1	1	0	0
127197	10	15604356	15605723	1368	-	ITGA8	ENSG00000077943	0	0	0	0	0
127198	10	15605792	15606284	493	-	ITGA8	ENSG00000077943	0	0	0	0	0
127199	10	15606423	15607676	1254	-	ITGA8	ENSG00000077943	0	0	0	0	0
127200	10	15607832	15608234	403	-	ITGA8	ENSG00000077943	0	0	0	0	0
127201	10	15611538	15613608	2071	-	ITGA8	ENSG00000077943	0	0	0	0	0
127202	10	15613768	15616513	2746	-	ITGA8	ENSG00000077943	1	1	1	0	0
127203	10	15616560	15644029	27470	-	ITGA8	ENSG00000077943	1	1	1	1	0.00500282972737597
127204	10	15644222	15646845	2624	-	ITGA8	ENSG00000077943	0	0	0	0	0
127205	10	15647052	15655353	8302	-	ITGA8	ENSG00000077943	1	1	1	1	0.0162712629532987
127206	10	15655407	15658998	3592	-	ITGA8	ENSG00000077943	0	0	0	0	0
127207	10	15659056	15660878	1823	-	ITGA8	ENSG00000077943	0	0	0	0	0
127208	10	15660923	15671602	10680	-	ITGA8	ENSG00000077943	1	1	1	3	0.0372424466502799
127209	10	15671648	15672623	976	-	ITGA8	ENSG00000077943	2	2	2	0	0
127210	10	15672750	15677591	4842	-	ITGA8	ENSG00000077943	1	1	1	0	0
127211	10	15677638	15678721	1084	-	ITGA8	ENSG00000077943	2	2	2	0	0
127212	10	15678784	15684003	5220	-	ITGA8	ENSG00000077943	0	0	0	1	0.047228248573782
127213	10	15684128	15687937	3810	-	ITGA8	ENSG00000077943	1	1	1	0	0
127214	10	15688039	15718765	30727	-	ITGA8	ENSG00000077943	1	1	1	3	0.0133698929919324
127215	10	15718900	15719562	663	-	ITGA8	ENSG00000077943	0	0	0	0	0
127216	10	15779142	15782154	3013	-	MINDY3	ENSG00000148481	43	43	43	111	0.122148122218486
127217	10	15782227	15786560	4334	-	MINDY3	ENSG00000148481	34	33	34	327	0.243597726264687
127218	10	15786649	15789246	2598	-	MINDY3	ENSG00000148481	26	30	30	59	0.0861427612572598
127219	10	15789320	15796099	6780	-	MINDY3	ENSG00000148481	46	46	46	4	0.00237130969163329
127220	10	15796173	15816834	20662	-	MINDY3	ENSG00000148481	70	62	70	45	0.00841582737746809
127221	10	15816916	15821655	4740	-	MINDY3	ENSG00000148481	54	57	57	3	0.00251105602672233
127222	10	15821727	15833629	11903	-	MINDY3	ENSG00000148481	54	59	59	18	0.00596177484019137
127223	10	15833710	15834542	833	-	MINDY3	ENSG00000148481	41	41	41	0	0
127224	10	15834617	15837203	2587	-	MINDY3	ENSG00000148481	55	55	55	0	0
127225	10	15837319	15837541	223	-	MINDY3	ENSG00000148481	49	3	49	2	0.0262156312593741
127226	10	15837634	15838227	594	-	MINDY3	ENSG00000148481	2	14	14	8	0.0570822671790033
127227	10	15838280	15841425	3146	-	MINDY3	ENSG00000148481	10	44	44	35	0.0430337784368305
127228	10	15841600	15843211	1612	-	MINDY3	ENSG00000148481	19	20	20	13	0.0333626453664386
127229	10	15843273	15847863	4591	-	MINDY3	ENSG00000148481	21	17	21	37	0.033629476916433
127230	10	15847944	15860205	12262	-	MINDY3	ENSG00000148481	35	39	39	46	0.0152432609809084
127231	10	16514708	16520477	5770	-	C1QL3	ENSG00000165985	1	1	1	76	0.654145174272844
127232	10	16520760	16520885	126	-	C1QL3	ENSG00000165985	0	0	0	3	0.999966673333482
127233	10	16593497	16695022	101526	-	RSU1	ENSG00000148484	222	222	222	84	0.000546999410690595
127234	10	16752654	16752917	264	-	RSU1	ENSG00000148484	172	172	172	2	0.00444803664150521
127235	10	16753001	16754870	1870	-	RSU1	ENSG00000148484	169	169	169	0	0
127236	10	16754990	16764389	9400	-	RSU1	ENSG00000148484	205	205	205	1	7.0282715560296e-05
127237	10	16764511	16782033	17523	-	RSU1	ENSG00000148484	296	293	296	26	0.000962440013733006
127238	10	16782085	16816972	34888	-	RSU1	ENSG00000148484	551	460	551	44	0.000772513811817204
127239	10	16817085	16817314	230	-	RSU1	ENSG00000148484	398	493	493	7	0.0140352394686162
127240	10	16825083	16828804	3722	-	CUBN	ENSG00000107611	0	0	0	0	0
127241	10	16829041	16831251	2211	-	CUBN	ENSG00000107611	0	0	0	0	0
127242	10	16831418	16835013	3596	-	CUBN	ENSG00000107611	1	1	1	0	0
127243	10	16835196	16836234	1039	-	CUBN	ENSG00000107611	0	0	0	0	0
127244	10	16836383	16840329	3947	-	CUBN	ENSG00000107611	0	0	0	0	0
127245	10	16840536	16840884	349	-	CUBN	ENSG00000107611	1	1	1	0	0
127246	10	16841048	16851234	10187	-	CUBN	ENSG00000107611	1	1	1	0	0
127247	10	16851444	16866806	15363	-	CUBN	ENSG00000107611	0	0	0	0	0
127248	10	16869854	16874373	4520	-	CUBN	ENSG00000107611	0	0	0	0	0
127249	10	16874504	16876896	2393	-	CUBN	ENSG00000107611	0	0	0	0	0
127250	10	16877098	16888416	11319	-	CUBN	ENSG00000107611	0	0	0	0	0
127251	10	16888567	16890370	1804	-	CUBN	ENSG00000107611	0	0	0	0	0
127252	10	16890528	16898995	8468	-	CUBN	ENSG00000107611	0	0	0	0	0
127253	10	16899184	16900624	1441	-	CUBN	ENSG00000107611	0	0	0	0	0
127254	10	16900851	16901337	487	-	CUBN	ENSG00000107611	0	0	0	0	0
127255	10	16901460	16903965	2506	-	CUBN	ENSG00000107611	0	0	0	0	0
127256	10	16904116	16906202	2087	-	CUBN	ENSG00000107611	0	0	0	0	0
127257	10	16906410	16907507	1098	-	CUBN	ENSG00000107611	0	0	0	0	0
127258	10	16913993	16915031	1039	-	CUBN	ENSG00000107611	0	0	0	0	0
127259	10	16915173	16915820	648	-	CUBN	ENSG00000107611	0	0	0	0	0
127260	10	16916031	16918621	2591	-	CUBN	ENSG00000107611	1	1	1	0	0
127261	10	16918801	16919962	1162	-	CUBN	ENSG00000107611	0	0	0	0	0
127262	10	16920138	16925240	5103	-	CUBN	ENSG00000107611	0	0	0	0	0
127263	10	16925425	16925583	159	-	CUBN	ENSG00000107611	0	0	0	0	0
127264	10	16925775	16928156	2382	-	CUBN	ENSG00000107611	0	0	0	0	0
127265	10	16928304	16933086	4783	-	CUBN	ENSG00000107611	0	0	0	1	0.0661904400030397
127266	10	16933285	16937591	4307	-	CUBN	ENSG00000107611	0	0	0	0	0
127267	10	16937785	16938962	1178	-	CUBN	ENSG00000107611	0	0	0	0	0
127268	10	16939148	16940031	884	-	CUBN	ENSG00000107611	0	0	0	0	0
127269	10	16940238	16947234	6997	-	CUBN	ENSG00000107611	0	0	0	0	0
127270	10	16947368	16948477	1110	-	CUBN	ENSG00000107611	0	0	0	0	0
127271	10	16948607	16950000	1394	-	CUBN	ENSG00000107611	0	0	0	0	0
127272	10	16950112	16952275	2164	-	CUBN	ENSG00000107611	0	0	0	0	0
127273	10	16952390	16954388	1999	-	CUBN	ENSG00000107611	0	0	0	1	0.146279491833031
127274	10	16965978	16982483	16506	-	CUBN	ENSG00000107611	0	0	0	1	0.0193995105354265
127275	10	16982654	16984104	1451	-	CUBN	ENSG00000107611	0	0	0	0	0
127276	10	16984280	16990333	6054	-	CUBN	ENSG00000107611	0	0	0	0	0
127277	10	16990516	17019832	29317	-	CUBN	ENSG00000107611	0	0	0	3	0.0328188888252987
127278	10	17019984	17041032	21049	-	CUBN	ENSG00000107611	0	0	0	1	0.0152924132294853
127279	10	17041221	17043826	2606	-	CUBN	ENSG00000107611	0	0	0	0	0
127280	10	17043984	17045006	1023	-	CUBN	ENSG00000107611	0	0	0	0	0
127281	10	17045189	17045933	745	-	CUBN	ENSG00000107611	0	0	0	0	0
127282	10	17046095	17047413	1319	-	CUBN	ENSG00000107611	1	1	1	0	0
127283	10	17047604	17065507	17904	-	CUBN	ENSG00000107611	0	0	0	0	0
127284	10	17065639	17068063	2425	-	CUBN	ENSG00000107611	0	0	0	0	0
127285	10	17068281	17068604	324	-	CUBN	ENSG00000107611	0	0	0	0	0
127286	10	17068771	17071425	2655	-	CUBN	ENSG00000107611	0	0	0	0	0
127287	10	17071605	17071826	222	-	CUBN	ENSG00000107611	0	0	0	0	0
127288	10	17071972	17084270	12299	-	CUBN	ENSG00000107611	0	0	0	1	0.0262011368710701
127289	10	17084462	17085596	1135	-	CUBN	ENSG00000107611	0	0	0	0	0
127290	10	17085760	17088163	2404	-	CUBN	ENSG00000107611	0	0	0	0	0
127291	10	17088346	17100004	11659	-	CUBN	ENSG00000107611	0	0	0	0	0
127292	10	17100240	17103124	2885	-	CUBN	ENSG00000107611	0	0	0	0	0
127293	10	17103238	17104418	1181	-	CUBN	ENSG00000107611	0	0	0	0	0
127294	10	17104606	17105456	851	-	CUBN	ENSG00000107611	0	0	0	0	0
127295	10	17105576	17109639	4064	-	CUBN	ENSG00000107611	1	1	1	0	0
127296	10	17109736	17110918	1183	-	CUBN	ENSG00000107611	0	0	0	0	0
127297	10	17111051	17114026	2976	-	CUBN	ENSG00000107611	0	0	0	0	0
127298	10	17114190	17115470	1281	-	CUBN	ENSG00000107611	0	0	0	2	0.398328690807799
127299	10	17122586	17122794	209	-	CUBN	ENSG00000107611	0	0	0	0	0
127300	10	17122899	17123587	689	-	CUBN	ENSG00000107611	0	0	0	0	0
127301	10	17123690	17126760	3071	-	CUBN	ENSG00000107611	0	0	0	0	0
127302	10	17126800	17127828	1029	-	CUBN	ENSG00000107611	0	0	0	0	0
127303	10	17127925	17129120	1196	-	CUBN	ENSG00000107611	0	0	0	0	0
127304	10	17129251	17129643	393	-	CUBN	ENSG00000107611	0	0	0	0	0
127305	10	17152100	17153506	1407	-	TRDMT1	ENSG00000107614	2	14	14	5	0.0443077882367203
127306	10	17153637	17154676	1040	-	TRDMT1	ENSG00000107614	11	11	11	1	0.0138888172688923
127307	10	17154735	17157440	2706	-	TRDMT1	ENSG00000107614	8	8	8	0	0
127308	10	17157785	17159145	1361	-	TRDMT1	ENSG00000107614	11	11	11	0	0
127309	10	17159230	17160304	1075	-	TRDMT1	ENSG00000107614	10	10	10	0	0
127310	10	17160375	17161482	1108	-	TRDMT1	ENSG00000107614	6	4	6	0	0
127311	10	17161549	17162165	617	-	TRDMT1	ENSG00000107614	7	7	7	1	0.0205207247383589
127312	10	17162238	17168840	6603	-	TRDMT1	ENSG00000107614	8	8	8	12	0.0268453096701926
127313	10	17168918	17169309	392	-	TRDMT1	ENSG00000107614	21	1	21	0	0
127314	10	17172025	17174550	2526	-	TRDMT1	ENSG00000107614	1	27	27	8	0.0341437096331538
127315	10	17174661	17200519	25859	-	TRDMT1	ENSG00000107614	0	0	0	7	0.00463046093676199
127316	10	17215365	17216166	802	-	VIM-AS1	ENSG00000229124	14	10	14	1	0.00218616052869246
127317	10	17216275	17217601	1327	-	VIM-AS1	ENSG00000229124	7	1	7	12	0.0178268251273345
127318	10	17217676	17226855	9180	-	VIM-AS1	ENSG00000229124	0	0	0	63	0.013787220708684
127319	10	17233899	17234701	803	-	AL133415.1	ENSG00000234961	0	0	0	613	0.38701267844083
127320	10	17318734	17321189	2456	-	ST8SIA6	ENSG00000148488	0	0	0	1	0.0785954207652995
127321	10	17321347	17323064	1718	-	ST8SIA6	ENSG00000148488	1	1	1	0	0
127322	10	17323158	17327013	3856	-	ST8SIA6	ENSG00000148488	0	0	0	0	0
127323	10	17327127	17331407	4281	-	ST8SIA6	ENSG00000148488	0	0	0	0	0
127324	10	17331553	17359513	27961	-	ST8SIA6	ENSG00000148488	0	0	0	2	0.0145310923388389
127325	10	17359601	17379356	19756	-	ST8SIA6	ENSG00000148488	0	0	0	0	0
127326	10	17379426	17390530	11105	-	ST8SIA6	ENSG00000148488	0	0	0	3	0.0538903034886894
127327	10	17390621	17453558	62938	-	ST8SIA6	ENSG00000148488	2	1	2	3	0.00416595407181206
127328	10	17453658	17454154	497	-	ST8SIA6	ENSG00000148488	0	0	0	0	0
127329	10	17590447	17594204	3758	-	HACD1	ENSG00000165996	0	0	0	4	0.251284655394277
127330	10	17594384	17599289	4906	-	HACD1	ENSG00000165996	0	0	0	5	0.248153552490025
127331	10	17599412	17603559	4148	-	HACD1	ENSG00000165996	1	1	1	2	0.0609210211490838
127332	10	17603649	17603725	77	-	HACD1	ENSG00000165996	0	0	0	0	0
127333	10	17603745	17603929	185	-	HACD1	ENSG00000165996	0	0	0	0	0
127334	10	17615965	17617082	1118	-	HACD1	ENSG00000165996	0	0	0	2	0.376105795629589
127335	10	17696121	17696602	482	-	AC069542.1	ENSG00000229190	0	0	0	1	1
127336	10	17696704	17700188	3485	-	AC069542.1	ENSG00000229190	0	0	0	56	1
127337	10	17863049	17865412	2364	-	AC069023.1	ENSG00000235637	0	0	0	0	0
127338	10	18003397	18004310	914	-	SLC39A12-AS1	ENSG00000226083	0	0	0	0	0
127339	10	18004409	18005363	955	-	SLC39A12-AS1	ENSG00000226083	0	0	0	0	0
127340	10	18005837	18007128	1292	-	SLC39A12-AS1	ENSG00000226083	0	0	0	0	0
127341	10	18008684	18009664	981	-	SLC39A12-AS1	ENSG00000226083	0	0	0	0	0
127342	10	18009754	18010528	775	-	SLC39A12-AS1	ENSG00000226083	0	0	0	0	0
127343	10	18206795	18224286	17492	-	AL390783.1	ENSG00000235020	0	0	0	0	0
127344	10	18234260	18238393	4134	-	AL390783.1	ENSG00000235020	0	0	0	0	0
127345	10	18257321	18261165	3845	-	AL390783.1	ENSG00000235020	0	0	0	0	0
127346	10	18539300	18541168	1869	-	AL450384.2	ENSG00000240291	0	0	0	50	0.493971022414487
127347	10	18541249	18542068	820	-	AL450384.2	ENSG00000240291	1	10	10	9	0.131734499553149
127348	10	18542178	18544323	2146	-	AL450384.2	ENSG00000240291	0	0	0	41	0.357121356222008
127349	10	18546146	18548111	1966	-	NSUN6	ENSG00000241058	75	75	75	17	0.0312768567151948
127350	10	18548238	18551717	3480	-	NSUN6	ENSG00000241058	0	0	0	11	0.0149951967657261
127351	10	18551972	18585948	33977	-	NSUN6	ENSG00000241058	43	44	44	97	0.012572106128045
127352	10	18586094	18596207	10114	-	NSUN6	ENSG00000241058	52	49	52	24	0.010243751092306
127353	10	18596328	18609844	13517	-	NSUN6	ENSG00000241058	49	48	49	25	0.0080598224558649
127354	10	18609927	18614459	4533	-	NSUN6	ENSG00000241058	100	96	100	11	0.0093445041601939
127355	10	18614614	18616183	1570	-	NSUN6	ENSG00000241058	65	66	66	1	0.00261788597587871
127356	10	18616294	18642475	26182	-	NSUN6	ENSG00000241058	34	30	34	24	0.00416869844216218
127357	10	18642556	18648489	5934	-	NSUN6	ENSG00000241058	40	45	45	14	0.010314787966591
127358	10	18648646	18651128	2483	-	NSUN6	ENSG00000241058	48	49	49	5	0.00862244646811548
127359	10	18653460	18654852	1393	-	NSUN6	ENSG00000241058	0	0	0	38	0.131595689768513
127360	10	18655176	18659231	4056	-	NSUN6	ENSG00000241058	12	9	12	44	0.0500090070346644
127361	10	19290467	19291421	955	-	AL590378.1	ENSG00000227734	0	0	0	0	0
127362	10	19711289	19716798	5510	-	AL157895.1	ENSG00000233968	0	0	0	0	0
127363	10	19716891	19722113	5223	-	AL157895.1	ENSG00000233968	0	0	0	0	0
127364	10	19722226	19722329	104	-	AL157895.1	ENSG00000233968	0	0	0	0	0
127365	10	19722589	19724926	2338	-	AL157895.1	ENSG00000233968	0	0	0	0	0
127366	10	19724982	19728404	3423	-	AL157895.1	ENSG00000233968	0	0	0	0	0
127367	10	19812844	19814401	1558	-	AL353147.1	ENSG00000285852	0	0	0	0	0
127368	10	20071253	20091733	20481	-	AC069549.1	ENSG00000238246	0	0	0	0	0
127369	10	20097338	20099449	2112	-	AC069549.2	ENSG00000287613	0	0	0	0	0
127370	10	20785924	20787201	1278	-	NEBL	ENSG00000078114	1	1	1	0	0
127371	10	20787309	20808509	21201	-	NEBL	ENSG00000078114	0	0	0	1	0.00696840177226285
127372	10	20808660	20809805	1146	-	NEBL	ENSG00000078114	0	0	0	0	0
127373	10	20809899	20812768	2870	-	NEBL	ENSG00000078114	0	0	0	1	0.0492485181766408
127374	10	20812941	20813938	998	-	NEBL	ENSG00000078114	0	0	0	0	0
127375	10	20814044	20815624	1581	-	NEBL	ENSG00000078114	0	0	0	2	0.174644603080651
127376	10	20815718	20817597	1880	-	NEBL	ENSG00000078114	0	0	0	0	0
127377	10	20817693	20818703	1011	-	NEBL	ENSG00000078114	0	0	0	1	0.13760030712718
127378	10	20818835	20819423	589	-	NEBL	ENSG00000078114	0	0	0	2	0.425530338312508
127379	10	20819517	20823207	3691	-	NEBL	ENSG00000078114	2	2	2	1	0.0213050934941798
127380	10	20823301	20826446	3146	-	NEBL	ENSG00000078114	3	3	3	0	0
127381	10	20826540	20828529	1990	-	NEBL	ENSG00000078114	0	0	0	0	0
127382	10	20828635	20831195	2561	-	NEBL	ENSG00000078114	0	0	0	0	0
127383	10	20831307	20831472	166	-	NEBL	ENSG00000078114	0	0	0	0	0
127384	10	20831584	20835512	3929	-	NEBL	ENSG00000078114	0	0	0	0	0
127385	10	20835624	20840738	5115	-	NEBL	ENSG00000078114	0	0	0	0	0
127386	10	20840850	20845257	4408	-	NEBL	ENSG00000078114	0	0	0	0	0
127387	10	20845369	20850394	5026	-	NEBL	ENSG00000078114	0	0	0	0	0
127388	10	20850503	20852544	2042	-	NEBL	ENSG00000078114	0	0	0	0	0
127389	10	20852650	20858239	5590	-	NEBL	ENSG00000078114	0	0	0	0	0
127390	10	20858345	20859712	1368	-	NEBL	ENSG00000078114	0	0	0	0	0
127391	10	20859827	20868663	8837	-	NEBL	ENSG00000078114	0	0	0	0	0
127392	10	20868766	20869739	974	-	NEBL	ENSG00000078114	0	0	0	0	0
127393	10	20869842	20880793	10952	-	NEBL	ENSG00000078114	1	1	1	2	0.0188061445621859
127394	10	20880905	20888096	7192	-	NEBL	ENSG00000078114	0	0	0	0	0
127395	10	20888208	20889844	1637	-	NEBL	ENSG00000078114	0	0	0	0	0
127396	10	20889950	20896957	7008	-	NEBL	ENSG00000078114	0	0	0	0	0
127397	10	20897030	20897124	95	-	NEBL	ENSG00000078114	0	0	0	0	0
127398	10	20961780	21020116	58337	-	NEBL	ENSG00000078114	0	0	0	7	0.01779711603303
127399	10	21170728	21172382	1655	-	NEBL	ENSG00000078114	0	0	0	0	0
127400	10	21172478	21173764	1287	-	NEBL	ENSG00000078114	0	0	0	0	0
127401	10	21340314	21354670	14357	-	LINC02643	ENSG00000230109	0	0	0	0	0
127402	10	21354765	21368496	13732	-	LINC02643	ENSG00000230109	0	0	0	3	1
127403	10	21368556	21369966	1411	-	LINC02643	ENSG00000230109	0	0	0	0	0
127404	10	21370116	21372894	2779	-	LINC02643	ENSG00000230109	0	0	0	1	1
127405	10	21516917	21517153	237	-	SKIDA1	ENSG00000180592	0	0	0	0	0
127406	10	21519659	21521388	1730	-	SKIDA1	ENSG00000180592	4	4	4	0	0
127407	10	21521481	21523682	2202	-	SKIDA1	ENSG00000180592	1	1	1	0	0
127408	10	21523872	21525546	1675	-	SKIDA1	ENSG00000180592	0	0	0	4	0.274341155953962
127409	10	21756756	21759169	2414	-	DNAJC1	ENSG00000136770	192	192	192	7	0.00263424474248981
127410	10	21759619	21766260	6642	-	DNAJC1	ENSG00000136770	139	139	139	11	0.00159116388767141
127411	10	21766310	21805979	39670	-	DNAJC1	ENSG00000136770	165	173	173	83	0.00201701323435263
127412	10	21806100	21860743	54644	-	DNAJC1	ENSG00000136770	0	0	0	81	0.00150743565977604
127413	10	21882440	21904521	22082	-	DNAJC1	ENSG00000136770	215	215	215	13	0.000559952281471182
127414	10	21904613	21918778	14166	-	DNAJC1	ENSG00000136770	196	196	196	21	0.00141495619378105
127415	10	21918873	21919831	959	-	DNAJC1	ENSG00000136770	173	173	173	1	0.000921250031367554
127416	10	21919930	21920797	868	-	DNAJC1	ENSG00000136770	136	134	136	1	0.00108626251501354
127417	10	21920964	21928505	7542	-	DNAJC1	ENSG00000136770	206	205	206	5	0.00062651418332217
127418	10	21928553	21929039	487	-	DNAJC1	ENSG00000136770	225	228	228	0	0
127419	10	21929142	22003212	74071	-	DNAJC1	ENSG00000136770	161	161	161	127	0.00166229402524921
127420	10	22231124	22232607	1484	-	AL157831.3	ENSG00000286832	0	0	0	0	0
127421	10	22440698	22441192	495	-	AL513128.3	ENSG00000286810	0	0	0	11	1
127422	10	22441495	22469769	28275	-	AL513128.3	ENSG00000286810	0	0	0	19	1
127423	10	22537282	22539465	2184	-	PIP4K2A	ENSG00000150867	451	1	451	56	0.013073519875665
127424	10	22540075	22541803	1729	-	PIP4K2A	ENSG00000150867	463	460	463	6	0.00179242256934977
127425	10	22542048	22550658	8611	-	PIP4K2A	ENSG00000150867	520	524	524	69	0.00420118801366437
127426	10	22567771	22567850	80	-	PIP4K2A	ENSG00000150867	0	0	0	0	0
127427	10	22567890	22569012	1123	-	PIP4K2A	ENSG00000150867	398	4	398	27	0.011982110725618
127428	10	22569055	22573310	4256	-	PIP4K2A	ENSG00000150867	4	401	401	70	0.00861235552638477
127429	10	22573458	22591628	18171	-	PIP4K2A	ENSG00000150867	502	474	502	65	0.00189913002658293
127430	10	22591782	22607926	16145	-	PIP4K2A	ENSG00000150867	637	666	666	113	0.00362488906094813
127431	10	22608024	22609619	1596	-	PIP4K2A	ENSG00000150867	378	382	382	20	0.00653545808224877
